activity_id,canonical_molecule_id,parent_id,source_id,assay_id,readout,assay_family,endpoint_type,endpoint_relation,endpoint_value,potency_nM,efficacy_pct,fold_shift,receptor_species,evidence_tier,final_modeling_role,extended_category,strict_view_membership,species_caveat,notes
ACT_10958308,CM00636,PARENT0119,PMID_22738637,ASSY_CHEMBL2060895,PAM_functional_calcium,calcium,EC50,>,10000.0,10000.0,,,Homo sapiens,CORE,threshold_only_bound,threshold_only_bound,threshold_negative,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; censored endpoint bound; relation preserved; assay-context negative result; same parent has PAM evidence in other assay contexts - not a parent-level inactivity declaration
ACT_10958322,CM00181,PARENT0133,PMID_22738637,ASSY_CHEMBL2060895,PAM_functional_calcium,calcium,EC50,>,10000.0,10000.0,,,Homo sapiens,CORE,threshold_only_bound,threshold_only_bound,threshold_negative,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; censored endpoint bound; relation preserved; assay-context negative result; same parent has PAM evidence in other assay contexts - not a parent-level inactivity declaration
ACT_10958324,CM00204,PARENT0135,PMID_22738637,ASSY_CHEMBL2060895,PAM_functional_calcium,calcium,EC50,>,10000.0,10000.0,,,Homo sapiens,CORE,threshold_only_bound,threshold_only_bound,threshold_negative,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; censored endpoint bound; relation preserved; assay-context negative result; same parent has PAM evidence in other assay contexts - not a parent-level inactivity declaration
ACT_10958348,CM00675,PARENT0103,PMID_22738637,ASSY_CHEMBL2060894,PAM_functional_calcium,calcium,%max,=,55.7,,55.7,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_10958349,CM00421,PARENT0104,PMID_22738637,ASSY_CHEMBL2060894,PAM_functional_calcium,calcium,%max,=,52.5,,52.5,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_10958350,CM00182,PARENT0106,PMID_22738637,ASSY_CHEMBL2060894,PAM_functional_calcium,calcium,%max,=,51.8,,51.8,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_10958351,CM00507,PARENT0107,PMID_22738637,ASSY_CHEMBL2060894,PAM_functional_calcium,calcium,%max,=,43.7,,43.7,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_10958352,CM00559,PARENT0111,PMID_22738637,ASSY_CHEMBL2060894,PAM_functional_calcium,calcium,%max,=,61.5,,61.5,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_10958353,CM00490,PARENT0112,PMID_22738637,ASSY_CHEMBL2060894,PAM_functional_calcium,calcium,%max,=,43.2,,43.2,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_10958354,CM00557,PARENT0114,PMID_22738637,ASSY_CHEMBL2060894,PAM_functional_calcium,calcium,%max,=,66.5,,66.5,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_10958355,CM00870,PARENT0116,PMID_22738637,ASSY_CHEMBL2060894,PAM_functional_calcium,calcium,%max,=,52.2,,52.2,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_10958356,CM00412,PARENT0117,PMID_22738637,ASSY_CHEMBL2060894,PAM_functional_calcium,calcium,%max,=,45.0,,45.0,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_10958357,CM00863,PARENT0118,PMID_22738637,ASSY_CHEMBL2060894,PAM_functional_calcium,calcium,%max,=,64.1,,64.1,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_10958358,CM00636,PARENT0119,PMID_22738637,ASSY_CHEMBL2060894,PAM_functional_calcium,calcium,%max,=,44.0,,44.0,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_10958359,CM00759,PARENT0122,PMID_22738637,ASSY_CHEMBL2060894,PAM_functional_calcium,calcium,%max,=,37.6,,37.6,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_10958360,CM00408,PARENT0123,PMID_22738637,ASSY_CHEMBL2060894,PAM_functional_calcium,calcium,%max,=,65.2,,65.2,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_10958361,CM00847,PARENT0125,PMID_22738637,ASSY_CHEMBL2060894,PAM_functional_calcium,calcium,%max,=,38.2,,38.2,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_10958362,CM00181,PARENT0133,PMID_22738637,ASSY_CHEMBL2060894,PAM_functional_calcium,calcium,%max,=,39.3,,39.3,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_10958363,CM00204,PARENT0135,PMID_22738637,ASSY_CHEMBL2060894,PAM_functional_calcium,calcium,%max,=,43.5,,43.5,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_10958364,CM00717,PARENT0137,PMID_22738637,ASSY_CHEMBL2060894,PAM_functional_calcium,calcium,%max,=,36.5,,36.5,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_10958365,CM00865,PARENT0149,PMID_22738637,ASSY_CHEMBL2060894,PAM_functional_calcium,calcium,%max,=,35.6,,35.6,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_10958366,CM00620,PARENT0158,PMID_22738637,ASSY_CHEMBL2060894,PAM_functional_calcium,calcium,%max,=,36.5,,36.5,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_10958371,CM00408,PARENT0123,PMID_22738637,ASSY_CHEMBL2060889,PAM_functional_calcium,calcium,FC,=,14.0,,,14.0,Homo sapiens,EXTENDED,fold_shift,fold_shift,,,cat=PAM_functional_calcium; standard_type=FC; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12626157,CM00796,PARENT0194,PMID_23177787,ASSY_CHEMBL2320370,PAM_functional_calcium,calcium,FC,=,106.0,,,106.0,Homo sapiens,EXTENDED,fold_shift,fold_shift,,,cat=PAM_functional_calcium; standard_type=FC; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12626158,CM00713,PARENT0195,PMID_23177787,ASSY_CHEMBL2320370,PAM_functional_calcium,calcium,FC,=,224.0,,,224.0,Homo sapiens,EXTENDED,fold_shift,fold_shift,,,cat=PAM_functional_calcium; standard_type=FC; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12626165,CM00733,PARENT0196,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,69.7,,69.7,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12626166,CM00115,PARENT0197,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,38.0,,38.0,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12626167,CM00099,PARENT0198,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,85.7,,85.7,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12626168,CM00074,PARENT0199,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,68.3,,68.3,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12626169,CM00465,PARENT0200,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,78.6,,78.6,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12626170,CM00554,PARENT0201,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,41.4,,41.4,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12626171,CM00600,PARENT0202,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,77.3,,77.3,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628003,CM00680,PARENT0203,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,69.9,,69.9,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628004,CM00524,PARENT0204,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,92.2,,92.2,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628005,CM00092,PARENT0205,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,30.7,,30.7,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628006,CM00588,PARENT0206,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,33.6,,33.6,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628007,CM00640,PARENT0207,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,65.1,,65.1,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628008,CM00532,PARENT0208,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,33.2,,33.2,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628009,CM00647,PARENT0209,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,46.8,,46.8,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628010,CM00679,PARENT0210,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,32.4,,32.4,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628011,CM00669,PARENT0211,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,42.0,,42.0,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628012,CM00531,PARENT0212,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,81.0,,81.0,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628013,CM00046,PARENT0213,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,71.7,,71.7,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628014,CM00633,PARENT0214,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,74.5,,74.5,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628015,CM00155,PARENT0215,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,51.0,,51.0,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628016,CM00630,PARENT0216,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,78.5,,78.5,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628017,CM00701,PARENT0217,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,83.1,,83.1,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628018,CM00279,PARENT0218,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,61.7,,61.7,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628019,CM00226,PARENT0219,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,74.5,,74.5,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628020,CM00800,PARENT0220,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,51.1,,51.1,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628021,CM00519,PARENT0221,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,74.1,,74.1,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628022,CM00307,PARENT0222,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,57.3,,57.3,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628023,CM00538,PARENT0223,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,84.9,,84.9,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628024,CM00343,PARENT0224,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,75.8,,75.8,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628025,CM00409,PARENT0225,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,64.1,,64.1,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628026,CM00796,PARENT0194,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,94.1,,94.1,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628027,CM00713,PARENT0195,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,94.0,,94.0,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628028,CM00852,PARENT0226,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,79.5,,79.5,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628029,CM00144,PARENT0227,PMID_23177787,ASSY_CHEMBL2320372,PAM_functional_calcium,calcium,%max,=,83.6,,83.6,,Homo sapiens,EXTENDED,auxiliary,auxiliary,,,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
ACT_12628039,CM00107,PARENT0228,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,>,30199.52,30199.52,,,Homo sapiens,CORE,threshold_only_bound,threshold_only_bound,threshold_negative,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; censored endpoint bound; relation preserved
ACT_12628040,CM00092,PARENT0205,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,>,10000.0,10000.0,,,Homo sapiens,CORE,threshold_only_bound,threshold_only_bound,threshold_negative,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; censored endpoint bound; relation preserved; assay-context negative result; same parent has PAM evidence in other assay contexts - not a parent-level inactivity declaration
ACT_12628041,CM00141,PARENT0229,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,>,30199.52,30199.52,,,Homo sapiens,CORE,threshold_only_bound,threshold_only_bound,threshold_negative,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; censored endpoint bound; relation preserved
ACT_12628078,CM00107,PARENT0228,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,>,30000.0,30000.0,,,Homo sapiens,CORE,threshold_only_bound,threshold_only_bound,threshold_negative,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; censored endpoint bound; relation preserved
ACT_12628079,CM00092,PARENT0205,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,>,10000.0,10000.0,,,Homo sapiens,CORE,threshold_only_bound,threshold_only_bound,threshold_negative,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; censored endpoint bound; relation preserved; assay-context negative result; same parent has PAM evidence in other assay contexts - not a parent-level inactivity declaration
ACT_12628080,CM00141,PARENT0229,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,>,30000.0,30000.0,,,Homo sapiens,CORE,threshold_only_bound,threshold_only_bound,threshold_negative,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; censored endpoint bound; relation preserved
ACT_12628094,CM00305,PARENT0230,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,30000.0,30000.0,,,Homo sapiens,CORE,censored_weak_pam,censored_weak_pam,threshold_negative,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=4.52 (generic negative-log potency)
ACT_13307312,CM00398,PARENT0234,PMID_23562060,ASSY_CHEMBL2384205,PAM_functional_unspecified,unspecified,EC50,>,30000.0,30000.0,,,Homo sapiens,EXTENDED,threshold_only_bound,threshold_only_bound,threshold_negative,,cat=PAM_functional_unspecified; standard_type=EC50; source_kind=primary_article; censored endpoint bound; relation preserved
ACT_13307313,CM00304,PARENT0061,PMID_23562060,ASSY_CHEMBL2384205,PAM_functional_unspecified,unspecified,EC50,>,30000.0,30000.0,,,Homo sapiens,EXTENDED,threshold_only_bound,threshold_only_bound,threshold_negative,,cat=PAM_functional_unspecified; standard_type=EC50; source_kind=primary_article; censored endpoint bound; relation preserved
ACT_13307314,CM00614,PARENT0101,PMID_23562060,ASSY_CHEMBL2384205,PAM_functional_unspecified,unspecified,EC50,>,30000.0,30000.0,,,Homo sapiens,EXTENDED,threshold_only_bound,threshold_only_bound,threshold_negative,,cat=PAM_functional_unspecified; standard_type=EC50; source_kind=primary_article; censored endpoint bound; relation preserved
ACT_13307315,CM00253,PARENT0235,PMID_23562060,ASSY_CHEMBL2384205,PAM_functional_unspecified,unspecified,EC50,>,30000.0,30000.0,,,Homo sapiens,EXTENDED,threshold_only_bound,threshold_only_bound,threshold_negative,,cat=PAM_functional_unspecified; standard_type=EC50; source_kind=primary_article; censored endpoint bound; relation preserved
ACT_13307316,CM00094,PARENT0236,PMID_23562060,ASSY_CHEMBL2384205,PAM_functional_unspecified,unspecified,EC50,>,30000.0,30000.0,,,Homo sapiens,EXTENDED,threshold_only_bound,threshold_only_bound,threshold_negative,,cat=PAM_functional_unspecified; standard_type=EC50; source_kind=primary_article; censored endpoint bound; relation preserved
ACT_13488829,CM00457,PARENT0251,PMID_24074052,ASSY_CHEMBL2439842,PAM_functional_ERK,ERK,Emax,=,89.0,,89.0,,Homo sapiens,EXTENDED,efficacy_only,efficacy_only,,,cat=PAM_functional_ERK; standard_type=Emax; source_kind=primary_article; legacy potency_nM treated as generic endpoint value (not potency)
