activity_id,class_label,canonical_molecule_id,parent_id,source_id,assay_id,readout,assay_family,endpoint_type,endpoint_relation,potency_nM,receptor_species,positive_evidence_type,negative_evidence_type,negative_evidence_tier,negative_evidence_provenance_group,molecule_has_positive,molecule_has_negative,molecule_label_conflict,molecule_strict_label,decision_provenance,notes
ACTL00004,positive,CM00034,PARENT0869,PMID_18772318,,PAM potentiation (literature narrative),GIRK/thallium,EC50,=,1200.0,human_M4,RU003_human_confirmed_GIRK_thallium,,,,yes,no,no,positive,human_decisions.jsonl:RU003;human_row_decisions.jsonl:ACTL00004,Literature narrative extraction (see compound notes)
ACTL00005,positive,CM00414,PARENT0232,PMID_18772318,,PAM potentiation (literature narrative),GIRK/thallium,EC50,=,1900.0,human_M4,RU003_human_confirmed_GIRK_thallium,,,,yes,no,no,positive,human_decisions.jsonl:RU003;human_row_decisions.jsonl:ACTL00005,Literature narrative extraction (see compound notes)
ACT_12628032,positive,CM00099,PARENT0198,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,416.87,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.38 (generic negative-log potency)
ACT_12628033,positive,CM00074,PARENT0199,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,309.03,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.51 (generic negative-log potency)
ACT_12628034,positive,CM00465,PARENT0200,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,288.4,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.54 (generic negative-log potency)
ACT_12628035,positive,CM00554,PARENT0201,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,223.87,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.65 (generic negative-log potency)
ACT_12628036,positive,CM00600,PARENT0202,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,147.91,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.83 (generic negative-log potency)
ACT_12628037,positive,CM00680,PARENT0203,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,1995.26,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.7 (generic negative-log potency)
ACT_12628038,positive,CM00524,PARENT0204,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,52.48,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.28 (generic negative-log potency)
ACT_12628042,positive,CM00588,PARENT0206,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,1737.8,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.76 (generic negative-log potency)
ACT_12628043,positive,CM00640,PARENT0207,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,251.19,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.6 (generic negative-log potency)
ACT_12628044,positive,CM00532,PARENT0208,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,177.83,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.75 (generic negative-log potency)
ACT_12628045,positive,CM00647,PARENT0209,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,104.71,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.98 (generic negative-log potency)
ACT_12628046,positive,CM00679,PARENT0210,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,154.88,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.81 (generic negative-log potency)
ACT_12628047,positive,CM00669,PARENT0211,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,154.88,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.81 (generic negative-log potency)
ACT_12628048,positive,CM00531,PARENT0212,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,107.15,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.97 (generic negative-log potency)
ACT_12628049,positive,CM00046,PARENT0213,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,81.28,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.09 (generic negative-log potency)
ACT_12628050,positive,CM00633,PARENT0214,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,323.59,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.49 (generic negative-log potency)
ACT_12628051,positive,CM00155,PARENT0215,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,812.83,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.09 (generic negative-log potency)
ACT_12628052,positive,CM00630,PARENT0216,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,269.15,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.57 (generic negative-log potency)
ACT_12628053,positive,CM00701,PARENT0217,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,295.12,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.53 (generic negative-log potency)
ACT_12628054,positive,CM00279,PARENT0218,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,851.14,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.07 (generic negative-log potency)
ACT_12628056,positive,CM00226,PARENT0219,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,128.82,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.89 (generic negative-log potency)
ACT_12628057,positive,CM00800,PARENT0220,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,1380.38,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.86 (generic negative-log potency)
ACT_12628058,positive,CM00519,PARENT0221,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,354.81,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.45 (generic negative-log potency)
ACT_12628059,positive,CM00307,PARENT0222,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,676.08,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.17 (generic negative-log potency)
ACT_12628060,positive,CM00538,PARENT0223,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,208.93,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.68 (generic negative-log potency)
ACT_12628061,positive,CM00343,PARENT0224,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,61.66,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.21 (generic negative-log potency)
ACT_12628062,positive,CM00409,PARENT0225,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,602.56,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.22 (generic negative-log potency)
ACT_12628063,positive,CM00796,PARENT0194,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,56.23,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.25 (generic negative-log potency)
ACT_12628064,positive,CM00713,PARENT0195,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,77.62,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.11 (generic negative-log potency)
ACT_12628065,positive,CM00852,PARENT0226,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,123.03,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.91 (generic negative-log potency)
ACT_12628066,positive,CM00144,PARENT0227,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,107.15,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.97 (generic negative-log potency)
ACT_12628067,positive,CM00750,PARENT0231,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,500.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.3 (generic negative-log potency)
ACT_12628068,positive,CM00414,PARENT0232,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,620.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.21 (generic negative-log potency)
ACT_12628069,positive,CM00733,PARENT0196,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,1410.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.85 (generic negative-log potency)
ACT_12628070,positive,CM00115,PARENT0197,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,926.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.03 (generic negative-log potency)
ACT_12628071,positive,CM00099,PARENT0198,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,418.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.38 (generic negative-log potency)
ACT_12628072,positive,CM00074,PARENT0199,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,307.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.51 (generic negative-log potency)
ACT_12628073,positive,CM00465,PARENT0200,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,289.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.54 (generic negative-log potency)
ACT_12628074,positive,CM00554,PARENT0201,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,226.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.65 (generic negative-log potency)
ACT_12628075,positive,CM00600,PARENT0202,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,147.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.83 (generic negative-log potency)
ACT_12628076,positive,CM00680,PARENT0203,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,2010.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.7 (generic negative-log potency)
ACT_12628077,positive,CM00524,PARENT0204,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,52.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.28 (generic negative-log potency)
ACT_12628081,positive,CM00588,PARENT0206,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,1750.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.76 (generic negative-log potency)
ACT_12628082,positive,CM00640,PARENT0207,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,249.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.6 (generic negative-log potency)
ACT_12628083,positive,CM00532,PARENT0208,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,180.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.75 (generic negative-log potency)
ACT_12628084,positive,CM00647,PARENT0209,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,104.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.98 (generic negative-log potency)
ACT_12628085,positive,CM00679,PARENT0210,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,160.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.8 (generic negative-log potency)
ACT_12628086,positive,CM00669,PARENT0211,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,160.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.8 (generic negative-log potency)
ACT_12628087,positive,CM00531,PARENT0212,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,108.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.97 (generic negative-log potency)
ACT_12628088,positive,CM00046,PARENT0213,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,80.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.1 (generic negative-log potency)
ACT_12628089,positive,CM00633,PARENT0214,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,326.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.49 (generic negative-log potency)
ACT_12628090,positive,CM00155,PARENT0215,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,810.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.09 (generic negative-log potency)
ACT_12628091,positive,CM00630,PARENT0216,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,271.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.57 (generic negative-log potency)
ACT_12628092,positive,CM00701,PARENT0217,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,294.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.53 (generic negative-log potency)
ACT_12628093,positive,CM00279,PARENT0218,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,844.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.07 (generic negative-log potency)
ACT_12628095,positive,CM00226,PARENT0219,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,128.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.89 (generic negative-log potency)
ACT_12628096,positive,CM00800,PARENT0220,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,1370.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.86 (generic negative-log potency)
ACT_12628097,positive,CM00519,PARENT0221,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,356.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.45 (generic negative-log potency)
ACT_12628098,positive,CM00307,PARENT0222,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,669.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.17 (generic negative-log potency)
ACT_12628099,positive,CM00538,PARENT0223,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,208.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.68 (generic negative-log potency)
ACT_12628100,positive,CM00343,PARENT0224,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,61.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.21 (generic negative-log potency)
ACT_12628101,positive,CM00409,PARENT0225,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,600.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.22 (generic negative-log potency)
ACT_12628102,positive,CM00796,PARENT0194,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,56.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.25 (generic negative-log potency)
ACT_12628103,positive,CM00713,PARENT0195,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,77.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.11 (generic negative-log potency)
ACT_12628104,positive,CM00852,PARENT0226,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,124.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.91 (generic negative-log potency)
ACT_12628105,positive,CM00144,PARENT0227,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,107.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.97 (generic negative-log potency)
ACT_13488845,positive,CM00457,PARENT0251,PMID_24074052,ASSY_CHEMBL2439843,PAM_functional_ERK,ERK,EC50,=,239.88,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_ERK; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.62 (generic negative-log potency)
ACT_13488846,positive,CM00326,PARENT0252,PMID_24074052,ASSY_CHEMBL2439843,PAM_functional_ERK,ERK,EC50,=,346.74,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_ERK; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.46 (generic negative-log potency)
ACT_13488847,positive,CM00156,PARENT0253,PMID_24074052,ASSY_CHEMBL2439843,PAM_functional_ERK,ERK,EC50,=,100.0,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_ERK; standard_type=EC50; source_kind=primary_article; legacy pEC50=7 (generic negative-log potency)
