activity_id,parent_id,source_id,series_id,assay_id,receptor_species,assay_type,readout,cell_system,orthosteric_agonist,agonist_conc_or_ecxx,endpoint_type,legacy_potency_type,endpoint_relation,legacy_pharmacological_class,quantitative_validity,v21_modeling_role,v21_exclusion_reason,potency_nM,pPotency,endpoint_value,endpoint_unit,efficacy_pct,fold_shift,modulation_direction,intrinsic_activity,evidence_tier,source_location,activity_comment,notes,raw_text_value,raw_standard_text_value,raw_activity_comment,qualitative_result,qualitative_result_source,qualitative_result_confidence,evidence_supported_role,evidence_supported_role_basis,v21_human_review_status,v21_human_review_unit_id,v21_human_review_decision,v21_human_review_decision_detail,compound_id,chembl_molecule_id,canonical_molecule_id,canonical_inchikey,assay_family,assay_context,final_target_valid,final_species_valid,final_identity_valid,final_direction,final_quantitative_type,final_modeling_role,final_exclusion_reason,potency_regression_eligible,pam_binary_eligible,threshold_10uM_eligible,unit_human_decision,row_human_decision,identity_decision,decision_provenance,fc2_divergent_group_id,fc2_divergent_classification,fc2_divergent_disposition
ACTL00014,PARENT0697,PMID_31787491,SR_tricyclic_pyridothienopyrimidine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,pure_PAM,exact,potency,,144.0,6.8416,144.0,nM,,,PAM,unknown,CORE,"First 5,6,6-tricyclic M4 PAM (narrative in VU6016235 paper)",,Literature narrative extraction (see compound notes),,,,,,,unresolved_primary_review,unit_requires_primary_review,still_requires_primary_source_review,RU016,,,CMP_LIT0014,CHEMBL5077997,CM00268,IEJIRPHETNSCOC-UHFFFAOYSA-N,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,yes,unresolved,narrative_exact,unresolved_primary_review_nonblocking,narrative row still requires primary-source review (no human decision),no,no,no,,,,,,,
ACTL00021,PARENT0877,PMID_10860942,SR_indolocarbazole,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,other_context,missing,not_quantitative,missing_quantitative_value,,,,,,,,unknown,EXTENDED,Allosteric interactions with NMS/ACh at M1-M4; positive cooperativity with ACh at M4 (binding); EXTENDED context,,Literature narrative extraction (see compound notes); no numeric endpoint value; excluded from quantitative modeling,,,,,,,not_quantitative_unresolved,v2_audit_not_quantitative,,,,,CMP_LIT0021,,CM00245,HKSZLNNOFSGOKW-FYTWVXJKSA-N,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,yes,unresolved,not_quantitative,not_quantitative_unresolved,non-quantitative unresolved record,no,no,no,,,,,,,
ACTL00022,PARENT0446,PMID_39316465,SR_orthosteric_context,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,orthosteric_agonist,missing,not_quantitative,missing_quantitative_value,,,,,,,,unknown,EXTENDED,"M1/M4 orthosteric agonist; KarXT (Cobenfy) component; context, not PAM",,Literature narrative extraction (see compound notes); no numeric endpoint value; excluded from quantitative modeling,,,,,,,not_quantitative_unresolved,v2_audit_not_quantitative,,,,,CMP_LIT0022,CHEMBL21536,CM00323,JOLJIIDDOBNFHW-UHFFFAOYSA-N,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,yes,unresolved,not_quantitative,not_quantitative_unresolved,non-quantitative unresolved record,no,no,no,,,,,,,
ACTL00023,PARENT0878,SRC0001,SR_orthosteric_context,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,orthosteric_agonist,missing,not_quantitative,missing_quantitative_value,,,,,,,,unknown,EXTENDED,"M4-selective orthosteric agonist (Neurocrine); phase 3; context, not PAM",,Literature narrative extraction (see compound notes); no numeric endpoint value; excluded from quantitative modeling,,,,,,,not_quantitative_unresolved,v2_audit_not_quantitative,,,,,CMP_LIT0023,,CM00232,HEJAEKBVOZHTRA-UHFFFAOYSA-N,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,yes,unresolved,not_quantitative,not_quantitative_unresolved,non-quantitative unresolved record,no,no,no,,,,,,,
ACTL00024,PARENT0879,PMID_26958838,SR_M4_antagonist,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,orthosteric_antagonist,missing,not_quantitative,missing_quantitative_value,,,,,,,,unknown,EXTENDED,Orthosteric antagonist; bound in M4 X-ray 5DSG; context,,Literature narrative extraction (see compound notes); no numeric endpoint value; excluded from quantitative modeling,,,,,,,not_quantitative_unresolved,v2_audit_not_quantitative,,,,,CMP_LIT0024,,CM00382,LERNTVKEWCAPOY-FPISHFTHSA-N,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,yes,unresolved,not_quantitative,not_quantitative_unresolved,non-quantitative unresolved record,no,no,no,,,,,,,
ACTL00025,PARENT0880,PMID_37248726,SR_orthosteric_context,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,orthosteric_agonist,missing,not_quantitative,missing_quantitative_value,,,,,,,,unknown,EXTENDED,Orthosteric superagonist used in cryo-EM PAM complexes; context,,Literature narrative extraction (see compound notes); no numeric endpoint value; excluded from quantitative modeling,,,,,,,not_quantitative_unresolved,v2_audit_not_quantitative,,,,,CMP_LIT0025,,CM00771,WXXOCGISBCTWPW-UHFFFAOYSA-N,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,yes,unresolved,not_quantitative,not_quantitative_unresolved,non-quantitative unresolved record,no,no,no,,,,,,,
ACTL00026,PARENT0445,PMID_37248726,SR_orthosteric_context,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,orthosteric_agonist,missing,not_quantitative,missing_quantitative_value,,,,,,,,unknown,EXTENDED,Endogenous agonist; orthosteric; context,,Literature narrative extraction (see compound notes); no numeric endpoint value; excluded from quantitative modeling,,,,,,,not_quantitative_unresolved,v2_audit_not_quantitative,,,,,CMP_LIT0026,CHEMBL667,CM00499,OIPILFWXSMYKGL-UHFFFAOYSA-N,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,yes,unresolved,not_quantitative,not_quantitative_unresolved,non-quantitative unresolved record,no,no,no,,,,,,,
ACTL00027,PARENT0881,PMID_39316465,SR_thienodipyrimidine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,pure_PAM,exact,potency,,100.0,7.0,100.0,nM,,,PAM,unknown,EXPLORATORY,hM4 100 nM; rM4 380 nM; tricyclic lead in VU6016235 paper; structure unresolved,,Literature narrative extraction (see compound notes),,,,,,,exact_PAM_potency,v2_audit_exact_pam_potency,,,,,CMP_LIT0027,,,,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,no,PAM,narrative_exact,identity_failure_no_canonical_structure,no canonical structure / unresolved identity,no,no,no,,,,,,,
ACTL00028,PARENT0882,PMID_39316465,SR_tricyclic_pyridothienopyrimidine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,pure_PAM,exact,potency,,140.0,6.8539,140.0,nM,,,PAM,unknown,EXPLORATORY,Lead tricyclic M4 PAM; hM4 140 nM; rM4 42 nM; M2 6.2 uM; MED 1 mg/kg AHL; structure unresolved,,Literature narrative extraction (see compound notes),,,,,,,exact_PAM_potency,v2_audit_exact_pam_potency,,,,,CMP_LIT0028,,,,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,no,PAM,narrative_exact,identity_failure_no_canonical_structure,no canonical structure / unresolved identity,no,no,no,,,,,,,
ACTL00029,PARENT0883,PMID_40415588,SR_pyrimidothienopyridazine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,pure_PAM,exact,potency,,73.4,7.1343,73.4,nM,,,PAM,unknown,EXPLORATORY,Preclinical candidate; hM4 73.4 nM; rM4 19.5 nM; structure unresolved,,Literature narrative extraction (see compound notes),,,,,,,exact_PAM_potency,v2_audit_exact_pam_potency,,,,,CMP_LIT0029,,,,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,no,PAM,narrative_exact,identity_failure_no_canonical_structure,no canonical structure / unresolved identity,no,no,no,,,,,,,
ACTL00030,PARENT0884,PMID_41581069,SR_triazolopyridazine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,pure_PAM,exact,potency,,23.0,7.6383,23.0,nM,,,PAM,unknown,EXPLORATORY,2026 M4 PAM; hM4 23 nM; rM4 55 nM; robust in vivo efficacy; structure unresolved,,Literature narrative extraction (see compound notes),,,,,,,exact_PAM_potency,v2_audit_exact_pam_potency,,,,,CMP_LIT0030,,,,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,no,PAM,narrative_exact,identity_failure_no_canonical_structure,no canonical structure / unresolved identity,no,no,no,,,,,,,
ACTL00031,PARENT0885,PMID_39316465,SR_thienodipyrimidine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,>,inactive_tested,censored,potency,,30000.0,,30000.0,nM,,,inactive,unknown,EXTENDED,hM4 EC50 >30 uM (piperidine tail); SAR Table 1 [structure unresolved; requires SI/manual structure extraction],,Literature narrative extraction (see compound notes); censored endpoint bound; relation preserved,,,,,,,explicit_inactive_no_potentiation,v2_audit_inactive_tested,,,,,CMP_LIT0031,,,,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,no,inactive,narrative_exact,identity_failure_no_canonical_structure,no canonical structure / unresolved identity,no,no,no,,,,,,,
ACTL00032,PARENT0886,PMID_39316465,SR_thienodipyrimidine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,weak_PAM,exact,potency,,5600.0,5.2518,5600.0,nM,,,PAM,unknown,EXTENDED,hM4 EC50 5.6 uM (morpholine tail); SAR Table 1 [structure unresolved; requires SI/manual structure extraction],,Literature narrative extraction (see compound notes),,,,,,,exact_PAM_potency,v2_audit_exact_pam_potency,,,,,CMP_LIT0032,,,,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,no,PAM,narrative_exact,identity_failure_no_canonical_structure,no canonical structure / unresolved identity,no,no,no,,,,,,,
ACTL00033,PARENT0887,PMID_39316465,SR_thienodipyrimidine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,weak_PAM,exact,potency,,1600.0,5.7959,1600.0,nM,,,PAM,unknown,EXTENDED,hM4 EC50 1.6 uM (2-oxa-6-azaspiro[3.3]heptane tail); SAR Table 1 [structure unresolved; requires SI/manual structure extraction],,Literature narrative extraction (see compound notes),,,,,,,exact_PAM_potency,v2_audit_exact_pam_potency,,,,,CMP_LIT0033,,,,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,no,PAM,narrative_exact,identity_failure_no_canonical_structure,no canonical structure / unresolved identity,no,no,no,,,,,,,
ACTL00034,PARENT0888,PMID_39316465,SR_thienodipyrimidine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,weak_PAM,exact,potency,,640.0,6.1938,640.0,nM,,,PAM,unknown,EXTENDED,hM4 EC50 640 nM (pyrrolidine F-sub); SAR Table 1 [structure unresolved; requires SI/manual structure extraction],,Literature narrative extraction (see compound notes),,,,,,,exact_PAM_potency,v2_audit_exact_pam_potency,,,,,CMP_LIT0034,,,,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,no,PAM,narrative_exact,identity_failure_no_canonical_structure,no canonical structure / unresolved identity,no,no,no,,,,,,,
ACTL00035,PARENT0889,PMID_39316465,SR_thienodipyrimidine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,pure_PAM,exact,potency,,290.0,6.5376,290.0,nM,,,PAM,unknown,EXTENDED,hM4 EC50 290 nM (pyrrolidine); SAR Table 1 [structure unresolved; requires SI/manual structure extraction],,Literature narrative extraction (see compound notes),,,,,,,exact_PAM_potency,v2_audit_exact_pam_potency,,,,,CMP_LIT0035,,,,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,no,PAM,narrative_exact,identity_failure_no_canonical_structure,no canonical structure / unresolved identity,no,no,no,,,,,,,
ACTL00036,PARENT0890,PMID_39316465,SR_thienodipyrimidine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,pure_PAM,exact,potency,,100.0,7.0,100.0,nM,,,PAM,unknown,EXTENDED,hM4 EC50 100 nM (=VU6015976) [structure unresolved; requires SI/manual structure extraction],,Literature narrative extraction (see compound notes),,,,,,,exact_PAM_potency,v2_audit_exact_pam_potency,,,,,CMP_LIT0036,,,,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,no,PAM,narrative_exact,identity_failure_no_canonical_structure,no canonical structure / unresolved identity,no,no,no,,,,,,,
ACTL00037,PARENT0891,PMID_39316465,SR_thienodipyrimidine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,pure_PAM,exact,potency,,160.0,6.7959,160.0,nM,,,PAM,unknown,EXTENDED,hM4 EC50 160 nM [structure unresolved; requires SI/manual structure extraction],,Literature narrative extraction (see compound notes),,,,,,,exact_PAM_potency,v2_audit_exact_pam_potency,,,,,CMP_LIT0037,,,,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,no,PAM,narrative_exact,identity_failure_no_canonical_structure,no canonical structure / unresolved identity,no,no,no,,,,,,,
ACTL00038,PARENT0892,PMID_39316465,SR_thienodipyrimidine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,weak_PAM,exact,potency,,1300.0,5.8861,1300.0,nM,,,PAM,unknown,EXTENDED,hM4 EC50 1.3 uM (benzyl amine); SAR Table 1 [structure unresolved; requires SI/manual structure extraction],,Literature narrative extraction (see compound notes),,,,,,,exact_PAM_potency,v2_audit_exact_pam_potency,,,,,CMP_LIT0038,,,,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,no,PAM,narrative_exact,identity_failure_no_canonical_structure,no canonical structure / unresolved identity,no,no,no,,,,,,,
ACTL00039,PARENT0893,PMID_39316465,SR_thienodipyrimidine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,weak_PAM,exact,potency,,1200.0,5.9208,1200.0,nM,,,PAM,unknown,EXTENDED,hM4 EC50 1.2 uM (benzyl amine); SAR Table 1 [structure unresolved; requires SI/manual structure extraction],,Literature narrative extraction (see compound notes),,,,,,,exact_PAM_potency,v2_audit_exact_pam_potency,,,,,CMP_LIT0039,,,,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,no,PAM,narrative_exact,identity_failure_no_canonical_structure,no canonical structure / unresolved identity,no,no,no,,,,,,,
ACTL00040,PARENT0894,PMID_39316465,SR_tricyclic_pyridothienopyrimidine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,pure_PAM,exact,potency,,73.0,7.1367,73.0,nM,,,PAM,unknown,EXTENDED,hM4 EC50 73 nM (pyrrolidine); SAR Table 2 [structure unresolved; requires SI/manual structure extraction],,Literature narrative extraction (see compound notes),,,,,,,exact_PAM_potency,v2_audit_exact_pam_potency,,,,,CMP_LIT0040,,,,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,no,PAM,narrative_exact,identity_failure_no_canonical_structure,no canonical structure / unresolved identity,no,no,no,,,,,,,
ACTL00041,PARENT0895,PMID_39316465,SR_tricyclic_pyridothienopyrimidine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,pure_PAM,exact,potency,,33.0,7.4815,33.0,nM,,,PAM,unknown,EXTENDED,hM4 EC50 33 nM; SAR Table 2 [structure unresolved; requires SI/manual structure extraction],,Literature narrative extraction (see compound notes),,,,,,,exact_PAM_potency,v2_audit_exact_pam_potency,,,,,CMP_LIT0041,,,,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,no,PAM,narrative_exact,identity_failure_no_canonical_structure,no canonical structure / unresolved identity,no,no,no,,,,,,,
ACTL00042,PARENT0896,PMID_39316465,SR_tricyclic_pyridothienopyrimidine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,pure_PAM,exact,potency,,140.0,6.8539,140.0,nM,,,PAM,unknown,EXTENDED,hM4 EC50 140 nM (=VU6016235) [structure unresolved; requires SI/manual structure extraction],,Literature narrative extraction (see compound notes),,,,,,,exact_PAM_potency,v2_audit_exact_pam_potency,,,,,CMP_LIT0042,,,,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,no,PAM,narrative_exact,identity_failure_no_canonical_structure,no canonical structure / unresolved identity,no,no,no,,,,,,,
ACTL00043,PARENT0897,PMID_39316465,SR_tricyclic_pyridothienopyrimidine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,pure_PAM,exact,potency,,170.0,6.7696,170.0,nM,,,PAM,unknown,EXTENDED,hM4 EC50 170 nM; SAR Table 2 [structure unresolved; requires SI/manual structure extraction],,Literature narrative extraction (see compound notes),,,,,,,exact_PAM_potency,v2_audit_exact_pam_potency,,,,,CMP_LIT0043,,,,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,no,PAM,narrative_exact,identity_failure_no_canonical_structure,no canonical structure / unresolved identity,no,no,no,,,,,,,
ACTL00044,PARENT0898,PMID_39316465,SR_tricyclic_pyridothienopyrimidine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,pure_PAM,exact,potency,,73.0,7.1367,73.0,nM,,,PAM,unknown,EXTENDED,hM4 EC50 73 nM; SAR Table 2 [structure unresolved; requires SI/manual structure extraction],,Literature narrative extraction (see compound notes),,,,,,,exact_PAM_potency,v2_audit_exact_pam_potency,,,,,CMP_LIT0044,,,,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,no,PAM,narrative_exact,identity_failure_no_canonical_structure,no canonical structure / unresolved identity,no,no,no,,,,,,,
